Company Name,Data Descriptions,Tags,Date,Link,Data Volume
Transit Mutual Insurance Corporation,"Business data., Accounting data., Project data., Data of network users folders., Fileserver data., Personal data.","usa, insurance","Jul 3, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/transitmutual.com/,400 Gb
"Legend Properties, Inc.","Business data., Accounting data., Project data., Data of network users folders., Fileserver data., Personal data.","usa, real_estate","Jul 3, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/lpre.com/,400 Gb
Island Transportation Corp.,"Business data., Accounting data., Project data., Data of network users folders., Fileserver data., Personal data.","usa, transportation","Jul 3, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/islandtrans.com/,300 Gb
MEL aviation Ltd,"Finance data, HR data, Engineering, developments and technologies, International, governmental and military orders, Mailboxes and internal & external email correspondence, Source code, Databases","uk, engineering","Jul 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/themelgroup.co.uk/,4.2 Tb
Longview Oral & Maxillofacial Surgery,"Finance data, HR data, Patients’ PII, PHI, and biometric data, Partners’ and vendors’ private data, Mailboxes and internal & external email correspondence, Databases","usa, dentistry","Jul 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/longviewoms.com/,2.5 Tb
Dordt University,"Finance data, HR data, Databases, Mailboxes and internal & external email correspondence, Incidents, Local and international students’ data, Students’ grades, PII and PHI records, Minors’ data","usa, education","Jul 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/dordt.edu/,3 Tb
ASI,,"usa, it","Jun 27, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/asipartner.com/,3.3 Tb
"Wind Composite Services Group, LLC","Finance data, HR data, Local and international business data, Engineering data, Incidents, Mailboxes & internal and external email correspondence","usa, electricity, oil, gas","Jun 25, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/windcomservices.com/,412 Gb
Payne & Jones,"Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, Clients’ PII & PHI records, Mailboxes & internal and external email correspondence, Databases","usa, law, legal","Jun 25, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/paynejones.com/,1.65 Tb
National Publisher Services LLC,"Finance data, HR data, Clients’, customers’, and partners’ private data, Trade & business data, PII records, Mailboxes & internal and external email correspondence","usa, media","Jun 25, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/npsmediagroup.com/,715 Gb
Elite Limousine Plus Inc,"Finance data, HR data, Local and international clients’, customers’, and partners’ data, Contracts and confidential agreements, PII data, Mailboxes, internal & external email correspondence, Databases, Source code","usa, transportation","Jun 25, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/eliteny.com/,1.8 Tb
Better Business Bureau,"Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and PST archives.",usa,"Jun 25, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bbb.org/,1.2 Tb
US Dermatology Partners,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Employees profiles.","usa, healthcare","Jun 21, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/usdermatologypartners.com/,300 Gb
Nikolaus & Hohenadel,"Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, Clients’ PII & PHI records, Internal and external email correspondence","usa, law","Jun 20, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/n-hlaw.com/,388 Gb
MAH Machine,"Finance data, HR data, Partners’, vendors’, and customers’ data, Contracts and agreements, Engineering data, Images and drawings, Mailboxes with internal and external email correspondence","usa, manufacturing","Jun 20, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mahmachine.com/,227 Gb
Critchfield & Johnston,"Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, PII & PHI records, Internal and external email correspondence, Databases, Data from ‘Heartland Title Agency’ corporate network","usa, law","Jun 20, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ccj.com/,4.7 Tb
Clinica de Salud del Valle de Salinas,"Finance data, HR data, Patients’ and partners’ confidential data, PII and PHI data, Test results and images, Internal and external email correspondence, Databases","usa, medicine","Jun 20, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/csvs.org/,1.7 Tb
Texas Retina Associates,,"usa, healthcare","Jun 15, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/texasretina.com/,N/A
Mountjoy,"Employees personal data., Contract data., Data of clients and suppliers., Plans of municipal buildings and construction information., Accounting and business data., Company strategical plans, board meetings and client leads.","uk, construction","Jun 13, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mountjoy.co.uk/,N/A
Central Carolina Insurance Agency Inc.,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.","usa, insurance","Jun 13, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/centralcarolina.com/,500 Gb
Center for Digestive Health,"A physical and medical history examination., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.","usa, medical","Jun 13, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cdhorlando.com/,2.2 Tb
Len Dubois Trucking,"Personal data of employees., Personal data of customers., Contract data and NDA’s., Accounting, budget, financial data., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.","canada, logistics","Jun 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/lenduboistrucking.com/,300 Gb
"GMJ & Co, Chartered Accountants","Contracts and agreements, PII data, Finance data, Internal and external email correspondence","india, accounting","Jun 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/gmjca.com/,110 Gb
Delta Pipeline,,"usa, engineering, construction","Jun 6, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/deltapipeline.com/,N/A
defi SOLUTIONS.,,"usa, software","Jun 5, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/defisolutions.com/,180 Gb
Western Saw Inc.,"Confidential Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Files from CEO PC., Engineering files., Email and msg archives., SQL bases.","usa, construction","Jun 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/westernsaw.com/,990 Gb
Northern Minerals Limited,"Operational Data, Strategical data: potential projects, geological and mining researches in various countries, data on research of competitors, R&D data, Financial data, Employees personal data, Corporate email archives including Nick Curtis and Shane Hartwing, Data on shareholders and potential investors","australia, resource_extraction","Jun 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/northernminerals.com.au/,N/A
Nutec Group,"Client lists, Business correspondence, Archived e-mails, Intellectual property of third parties","usa, manufacturing","May 31, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/nutec.com/,204 Gb
Pavilion Construction LLC,,"usa, construction","May 29, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/pavilionconstruction.com/,N/A
Panacea Healthcare Services,"Finance data., Employees, clients’ and customers’ confidential data., Business data., Clients’ and customers’ financials and PII., Files from CEO PC., Operational and business files., Internal and external email correspondence.","usa, accounting, insurance","May 29, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/panaceahcs.com/,300 Gb
Affiliated Dermatologists and Dermatologic Surgeons,,"usa, healthcare","May 29, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/affiliateddermatologists.com/,N/A
Optometric Physicians of Middle Tennessee,"Finance data, HR data, Patients’ PII and PHI, Biometric data, Contracts and confidential agreements, SQL databases","usa, medicine","May 20, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/opmt.com/,1.5 Tb
Dragon Tax and Management INC,"Company’s financials, Clients’ financials, HR data, PII data, Contracts and agreements, Internal and external email correspondence","usa, tax","May 20, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/dragontax.com/,334 Gb
Azteca Tax Systems,"Finance data, HR data, Clients’ private data, Contracts and agreements, Internal and external email correspondence","usa, tax","May 20, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/aztecataxsystems.com/,484 Gb
Bluebonnet Nutrition,"Incidents and complaints against products, Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and PST archives.","usa, manufacturing","May 17, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bluebonnetnutrition.com/,2.6 Tb
Romeo Pitaro Injury & Litigation Lawyers,"Clients personal info, Financial documents, Information on current and closed cases, Contract data and NDA’s., Email and msg archives.","canada, lawyers","May 10, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/romeopitaro.com/,310 Gb
LT Business Dynamics,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives., Customer audit reports.","usa, accouting","May 6, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ltbd.com/,920 Gb
"Pioneer Oil Company, Inc.","Personal Data., Accounting, budget, financial data., Technical data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.","usa, mining, energy","Apr 30, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/pioneeroil.net/,800 Gb
Neurobehavioral Medicine Consultants,"Client data., Financial data.","usa, hospitals","Apr 30, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/neurobehavioralmed.com/,60 Gb
GROWTH by NCRC,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.","usa, investment","Apr 26, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/growthbyncrc.com/,830 Gb
"On Q Financial, LLC","Personal Data., Technical data., Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.","usa, finance","Apr 23, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/onqfinancial.com/,1 Tb
Image Craft,"Accounting, budget, financial data., Drawings, Contract data and NDA’s., Personal Data., Users personal folders","usa, printing_services","Apr 18, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/imcraft.com/,1.9 Tb
B&B Electric Inc,"Projects (building plans, building communications), Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.","usa, construction","Apr 18, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bandbelectric.com/,750 Gb
JE Owens & Company PA.,"Personal Data., Finance data., Contract data and NDA’s.","usa, mining, energy","Apr 18, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/jeowens.com/,204 Gb
Chambers Construction,"Finance data, HR data, Clients’, customers’, and partners’ data, Contracts and confidential agreements, Projects and technical data, Mailboxes, Internal and external email correspondence, SQL database","usa, construction","Apr 10, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/chambersconstruction.com/,4.2 Tb
P&B Capital Group,,"usa, finance","Apr 5, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/pandbcapitalgroup.com/,N/A
Bira 91,"Finance data, HR data, Recipes and other trade secrets, Indian and International partners’, customers’, and vendors’ data, Milboxes, Internal and external email correspondence with attachments","india, food, beverages, manufacturing","Apr 4, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bira91.com/,1.9 Tb
Lieberman LLP,"Finance data, Employees, clients’ and customers’ confidential data, Business data, Clients’ and customers’ financials and PII, Internal and external email correspondence","usa, accounting","Apr 1, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/liebermanllp.com/,150 Gb
Consolidated Benefits Resources,"Finance data, HR data, PII records, PHI records, Incidents and injury reports, Partners’ and clients’ private data, Mailboxes, Internal and external email correspondence, SQL databases","usa, insurance","Apr 1, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cbrcloud.com/,1.2 Tb
Medall Healthcare Pvt Ltd.,"Financial data, HR data, Patients’ and partners’ confidential data, PII and PHI data, Test results and images, Internal and external email correspondence, SQL databases","india, medicine","Mar 27, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/medall.in/,1.5 Tb
"Keboda Technology Co., Ltd.","Personal data, Chinese customers (e.g. Geely, Zeekr, Hongqi, etc.), International customers (e.g. Volkswagen, BMW, Audi, Ford, Porsche, etc.), Source codes & Developments, Internal and external email correspondence with attachments, SQL databases","china, automotive, electronics, manufacturing","Mar 27, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/keboda.com/,1.2 Tb
"Martin's, Inc.","Financial data, HR data, PII data, Clients’ private data, Photos and videos, Internal and external email correspondence, SQL databases","usa, catering","Mar 26, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/martinscaterers.com/,1.4 Tb
Dr. Leeman ENT,"Finance data, HR data, PII and PHI records, Patients’ images, Cases, Mailboxes, Internal and external email correspondence with attachments, SQL databases","usa, medicine","Mar 26, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/drleeman.com/,480 Gb
Roncelli Plastics,"Technology Data., Personal data., Financial data., Customer data., SQL backups., Company e-mail archives., Network user folders., File server data., Docuware archives., Business data such as board meetings, company strategy development, etc., Compliance and training materials.","usa, manufacturing","Mar 24, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/roncelli.com/,1.6 Tb
"Mayer Antonellis Jachowicz & Haranas, LLP","Legal paper work., Client data., Financial data., Management email archives.","usa, lawyers","Mar 15, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hkwg.com/,170 Gb
Shoma group,"Accidents., Accounting, budget, financial data., Contract data and NDA’s., Email and msg archives., Files from CFO PC., Personal Data., Investor data, Operational and business files., Technical data.","usa, real_estate","Mar 13, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/shomagroup.com/,2 Tb
Lindsay Municipal Hospital,,"usa, healthcare","Mar 8, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/lindsayhospital.com/,N/A
"Palmer Construction Co., Inc","Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Employees profiles., Projects info, drawings","usa, construction","Mar 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/palmerconstruction.net/,475 Gb
New York Home Healthcare,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Employees profiles.","usa, healthcare","Mar 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/nyhhc.com/,330 Gb
"Hypertension Nephrology Associates, P.C.","Finance data, HR data, PHI and PII data, Test results, Mailboxes and email correspondence, SQL databases","usa, medicine","Mar 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hypertensionnephrology.com/,506 Gb
First Professional Services,"Finance data, HR data, Patients’ PII and PHI data, Mailboxes and external email correspondence, SQL databases","usa, medicine, it","Mar 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/1stprofessional.com/,755 Gb
Dobrowski Stafford & Pierce,"Legal Documentation., Company data relating to legal cases., Personal data., Settlement data., Financial data., Paul Dobrowski personal files., Company email archives.","usa, lawyers","Mar 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/dobrowskillp.com/,N/A
HRTec Inc,"Personal Data., Accounting, budget, financial data., Technical data., Contract data and NDA’s., Accidents., Files from Top Management PC., Operational and business files., Email and msg archives.","usa, broadcasting","Mar 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hrtec.net/,500 Gb
"Cole, Cole, Easley & Sciba","Legal paper work., Client data., PHI data., Financial data., File server data., Folders of network users., HR data., Management email archives.","usa, lawyers","Feb 28, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cceslaw.com/,1.5 Tb
"Hypertension Nephrology Associates, P.C.","Finance data, HR data, PHI and PII data, Test results, Mailboxes and email correspondence, SQL databases","usa, medicine","Feb 27, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hypertensionnephrologyassociates.com/,506 Gb
Advantage Orthopedic & Sports Medicine Clinic,"Finance data, HR data, Patients’ PII and PHI records, Test results, Mailboxes and email correspondence, SQL databases","usa, medicine","Feb 27, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/advantageorthopedic.com/,600 Gb
TechNet Kronoberg AB,"Financial Data, HR data, Business data, Technical data","sweden, it","Feb 21, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/technetsyd.se/,278 Gb
J.P. Original,"Financial Data, HR data, Clients’ and partners’ data, Business data, Design images, Mailboxes, Internal and external email correspondence","usa, apparel","Feb 21, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/jpo.com/,1.2 Tb
Instron & ITW Inc,"Blueprints and drawings, Electric datasheet, PCB Datasheet & Drawings, Firmware Source Codes for Hardware, Datasheet of microcontrollers","usa, manufacturing, testing","Feb 21, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/instron.com/,2 Tb
NOVA Business Law Group,"Personal Data., Customer Data (SSN/Passport/DL), Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.","usa, law","Feb 20, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/novablg.com/,880 Gb
Marchassociates,"Personal Data., Accounting, budget, financial data., Technical data., Contract data and NDA’s., Accidents., Projects information., Email and msg archives.","usa, construction","Feb 20, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/marchassociates.com/,1.8 Tb
The Wiser Financial Group,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Customer audit reports., Files from CEO PC., Operational and business files., Email and msg archives.","usa, finance","Feb 19, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/thewisergroup.com/,300 Gb
GRTC Transit System,"Personal Data., Accounting, budget, financial data., Technical data., Contract data and NDA’s., Accidents., Files from CEO and CFO PC., Operational and business files., Email archives and databases SQL.","usa, transportation","Feb 18, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ridegrtc.com/,1.5 Tb
Law Office of Michael H Joseph,"Finance data, HR data, Clients’ and customers’ confidential data, Incidents and cases, Court and Police files, Clients’ health and medical records, Internal and external email correspondence, Cases’ images and videos, Yennipher Nunez (Personal injury case)DOB: June 1, 1982SSN: 101-92-0008Address: 500 E 171st Street Apt 20 D Bronx 10457Cell phone: +1 646-225-8842, DOB: June 1, 1982, SSN: 101-92-0008, Address: 500 E 171st Street Apt 20 D Bronx 10457, Cell phone: +1 646-225-8842, Shari Davis (Plastic surgery incident case)DOB: September 4, 1979SSN: 117-72-6147Address: 141 South Lexington Ave, #508 White Plains NY 10601Cell phone: +1 917-674-8111, DOB: September 4, 1979, SSN: 117-72-6147, Address: 141 South Lexington Ave, #508 White Plains NY 10601, Cell phone: +1 917-674-8111","usa, law","Feb 15, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/newyorktriallawyers.org/,1.9 Tb
Tandem,"Financial data, HR data, Clients’ and partners’ data, Projects, Mailboxes, Internal and external email correspondence","usa, design, architecture","Feb 13, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/tandemlasvegas.com/,2.1 Tb
"Robert D. Clements Jr Law Group, LLLP","Financial data., Folders of network users., File server data., Clients data., Legal paperwork.","usa, lawyers","Feb 12, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/rdclements.com/,200 Gb
Bay Orthopedic & Rehabilitation Supply,"Patients personal data., Network users folders., Email archives., File server data.","usa, transportation","Feb 10, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bayorthopedic.com/,400 Gb
MA Engineering,"HR data, Clients’ and customers’ data, Projects’ data, Internal and external email correspondence","usa, engineering","Feb 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/eam-engineers.com/,94 Gb
CTSI,"Finance data., Employees’ and customers’ confidential data., Projects and other business data., Internal email correspondence.","usa, business","Feb 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ctsiweb.com/,978 Gb
Northeast Spine and Sports Medicine's,"Accounting, budget, financial data., Contract data and NDA’s., Emploee data., Email and msg archives., Personal Data., Private data of the patients., Network users personal folders.","usa, medical","Feb 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/northeastspineandsports.com/,400 Gb
Donear Industries,"Finance data, HR data, Images and drawings, Clients’ and partners’ data, Internal and external email correspondence, SQL databases","india, apparel, manufacturing","Feb 3, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/donear.com/,3.5 Tb
Akumin,"Finance data, Patients’ personal data, Health and medical records, Internal email correspondence, Akumin’s software source code, SQL databases","usa, medicine, radiology, healthcare","Feb 3, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/akumin.com/,5 Tb
Greenbox Loans Inc.,"Finance data., Employees’, clients’ and partners’ confidential data., Internal and external email correspondence., Clients’ financial conditions and personal data.","usa, brokerage, finance","Feb 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/greenboxloans.com/,1 Tb
Commonwealth Capital,"Finance data, HR data, Clients’ and partners’ confidential data, Non-disclosure agreements, Secret recipes and other trade secrets, Internal and external email correspondence, SQL databases","singapore, investment, food","Feb 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/commonwealthcapital.asia/,2 Tb
"Chaney, Couch, Callaway, Carter & Associates Family
            Dentistry.","Finance data, HR, Partners’ and patients’ confidential data, Patients’ images, Medical records","usa, dentistry","Feb 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/tallyteeth.com/,245 Gb
Air Sino-Euro Associates Travel Pte. Ltd,"Company’s financials, HR data, Clients’ and Partners’ data, Private personal data, Internal and external email correspondence, SQL databases","singapore, travel, holiday","Feb 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/asaholiday.com/,736 Gb
Cislo & Thomas LLP,"Legal paper work., Client data., Financial data., File server data., Folders of network users, including company management., Personnel data., Email archives.","usa, lawyers","Jan 25, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cisloandthomas.com/,3 Tb
"NSEIT Limited (a subsidiary of the National Stock Exchange of
            India)","Source codes of over 100 company projects, including projects for banks, insurance companies, financial services, etc., SVN repositories., Financial data., HR data., Project data., SQL backups of company partners, including banks (lists with over 1 million bank clients, over 150,000 employees, operations, etc..)., Technical data (company’s network infrastructure, online and network accesses, etc..), Contracts and NDA’s, Data of Vendors and Suppliers","india, it","Jan 21, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/nseit.com/,3 Tb
Martinaire Aviation,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Personal information of clients., Incidents.","usa, airlines","Jan 19, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/martinaire.com/,365 Gb
KC Pharmaceuticals,"Business data., Finance data., Internal email correspondence.","usa, medicine, pharmacies","Jan 19, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/kc-ph.com/,2.5 Tb
North Star Tax And Accounting,"Finance data., Employees’ and clients’ confidential data., Business data., Internal email correspondence.","usa, finance, tax","Jan 18, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/northstartaxes.com/,480 Gb
Somerset Logistics,"Employee data., Company financial data., Sensitive customer data., Files from President PC., Fileserver Data.","usa, logistics","Jan 8, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/somersetlogistics.com/,624 Gb
