Company_Name,Sector,Industry_Group,Country_of_Origin,Type_of_Data_Stolen,Date,Data_Volume,Data_Volume_GB
Recievership Specialists,Financials,Financial Services,United States,Authentication & Credential Data,"Feb 7, 2025",0,0
Recievership Specialists,Financials,Financial Services,United States,Personal Identifiable Information (PII),"Feb 7, 2025",0,0
Recievership Specialists,Financials,Financial Services,United States,Financial & Payment Data,"Feb 7, 2025",0,0
Recievership Specialists,Financials,Financial Services,United States,Medical & Health Records (PHI),"Feb 7, 2025",0,0
Recievership Specialists,Financials,Financial Services,United States,Corporate & Business Data,"Feb 7, 2025",0,0
Recievership Specialists,Financials,Financial Services,United States,"Government & Military Data (if applicable - depending on the nature of ""court and litigations' data"")","Feb 7, 2025",0,0
Recievership Specialists,Financials,Financial Services,United States,Communication & Social Data,"Feb 7, 2025",0,0
Global Insurance Agency LLC,Financials,Insurance,United States,Financial & Payment Data,"Feb 7, 2025",805 Gb,805
Global Insurance Agency LLC,Financials,Insurance,United States,Personal Identifiable Information (PII),"Feb 7, 2025",805 Gb,805
Global Insurance Agency LLC,Financials,Insurance,United States,Medical & Health Records (PHI),"Feb 7, 2025",805 Gb,805
Global Insurance Agency LLC,Financials,Insurance,United States,Corporate & Business Data,"Feb 7, 2025",805 Gb,805
Global Insurance Agency LLC,Financials,Insurance,United States,Communication & Social Data,"Feb 7, 2025",805 Gb,805
Global Insurance Agency LLC,Financials,Insurance,United States,System & Infrastructure Data,"Feb 7, 2025",805 Gb,805
D-7 Roofing,Industrials,Construction,United States,Authentication & Credential Data,"Feb 7, 2025",0,0
D-7 Roofing,Industrials,Construction,United States,Financial & Payment Data,"Feb 7, 2025",0,0
D-7 Roofing,Industrials,Construction,United States,Corporate & Business Data,"Feb 7, 2025",0,0
D-7 Roofing,Industrials,Construction,United States,Communication & Social Data,"Feb 7, 2025",0,0
D-7 Roofing,Industrials,Construction,United States,System & Infrastructure Data,"Feb 7, 2025",0,0
Cyrious Software,Information Technology,Software,United States,Authentication & Credential Data,"Feb 7, 2025",812 Tb,831488
Cyrious Software,Information Technology,Software,United States,Personal Identifiable Information,"Feb 7, 2025",812 Tb,831488
Cyrious Software,Information Technology,Software,United States,Corporate & Business Data,"Feb 7, 2025",812 Tb,831488
Cyrious Software,Information Technology,Software,United States,Communication & Social Data,"Feb 7, 2025",812 Tb,831488
Cyrious Software,Information Technology,Software,United States,Intellectual Property (IP) & Research Data,"Feb 7, 2025",812 Tb,831488
Cyrious Software,Information Technology,Software,United States,System & Infrastructure Data,"Feb 7, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Authentication & Credential Data,"Feb 7, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Personal Identifiable Information (PII),"Feb 7, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Financial & Payment Data,"Feb 7, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Medical & Health Records (PHI),"Feb 7, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Corporate & Business Data,"Feb 7, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Government & Military Data (if the government or military is a client),"Feb 7, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Communication & Social Data,"Feb 7, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Authentication & Credential Data,"Feb 7, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Personal Identifiable Information (PII),"Feb 7, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Financial & Payment Data,"Feb 7, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Medical & Health Records (PHI),"Feb 7, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Corporate & Business Data,"Feb 7, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Government & Military Data (if the government or military is a client),"Feb 7, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Communication & Social Data,"Feb 7, 2025",0,0
NESCTC Security Services,Consumer Discretionary,Diversified Consumer Services,United States,Authentication & Credential Data,"Feb 5, 2025",300 Gb,300
NESCTC Security Services,Consumer Discretionary,Diversified Consumer Services,United States,Financial & Payment Data,"Feb 5, 2025",300 Gb,300
NESCTC Security Services,Consumer Discretionary,Diversified Consumer Services,United States,Personal Identifiable Information,"Feb 5, 2025",300 Gb,300
NESCTC Security Services,Consumer Discretionary,Diversified Consumer Services,United States,Corporate & Business Data,"Feb 5, 2025",300 Gb,300
NESCTC Security Services,Consumer Discretionary,Diversified Consumer Services,United States,Communication & Social Data,"Feb 5, 2025",300 Gb,300
Hall Chadwick,Financials,Financial Services,United States,Authentication & Credential Data,"Feb 5, 2025",700 Gb,700
Hall Chadwick,Financials,Financial Services,United States,Financial & Payment Data,"Feb 5, 2025",700 Gb,700
Hall Chadwick,Financials,Financial Services,United States,Corporate & Business Data,"Feb 5, 2025",700 Gb,700
Hall Chadwick,Financials,Financial Services,United States,Communication & Social Data,"Feb 5, 2025",700 Gb,700
Hall Chadwick,Financials,Financial Services,United States,Intellectual Property (IP) & Research Data,"Feb 5, 2025",700 Gb,700
Mizuno (USA),Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States,Authentication & Credential Data,"Feb 4, 2025",0,0
Mizuno (USA),Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States,Financial & Payment Data,"Feb 4, 2025",0,0
Mizuno (USA),Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States,Corporate & Business Data,"Feb 4, 2025",0,0
Mizuno (USA),Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States,Intellectual Property (IP) & Research Data,"Feb 4, 2025",0,0
Mizuno (USA),Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States,Communication & Social Data,"Feb 4, 2025",0,0
Mid Florida Primary Care,Health Care,Health Care Providers,United States,Authentication & Credential Data,"Feb 4, 2025",900 Gb,900
Mid Florida Primary Care,Health Care,Health Care Providers,United States,Personal Identifiable Information (PII),"Feb 4, 2025",900 Gb,900
Mid Florida Primary Care,Health Care,Health Care Providers,United States,Financial & Payment Data,"Feb 4, 2025",900 Gb,900
Mid Florida Primary Care,Health Care,Health Care Providers,United States,Medical & Health Records (PHI),"Feb 4, 2025",900 Gb,900
Mid Florida Primary Care,Health Care,Health Care Providers,United States,Corporate & Business Data,"Feb 4, 2025",900 Gb,900
Mid Florida Primary Care,Health Care,Health Care Providers,United States,Communication & Social Data,"Feb 4, 2025",900 Gb,900
Commercial Solutions,Information Technology,Software & Services,United States,Authentication & Credential Data,"Feb 4, 2025",0,0
Commercial Solutions,Information Technology,Software & Services,United States,Financial & Payment Data,"Feb 4, 2025",0,0
Commercial Solutions,Information Technology,Software & Services,United States,Corporate & Business Data,"Feb 4, 2025",0,0
Commercial Solutions,Information Technology,Software & Services,United States,Communication & Social Data,"Feb 4, 2025",0,0
Commercial Solutions,Information Technology,Software & Services,United States,Personal Identifiable Information,"Feb 4, 2025",0,0
C & R Molds Inc,Industrials,Industrial Conglomerates,United States,Authentication & Credential Data,"Feb 4, 2025",0,0
C & R Molds Inc,Industrials,Industrial Conglomerates,United States,Financial & Payment Data,"Feb 4, 2025",0,0
C & R Molds Inc,Industrials,Industrial Conglomerates,United States,Corporate & Business Data,"Feb 4, 2025",0,0
C & R Molds Inc,Industrials,Industrial Conglomerates,United States,Intellectual Property (IP) & Research Data,"Feb 4, 2025",0,0
C & R Molds Inc,Industrials,Industrial Conglomerates,United States,Communication & Social Data,"Feb 4, 2025",0,0
American Computer Estimating Inc,Financials,Insurance,United States,Authentication & Credential Data,"Feb 4, 2025",0,0
American Computer Estimating Inc,Financials,Insurance,United States,Financial & Payment Data,"Feb 4, 2025",0,0
American Computer Estimating Inc,Financials,Insurance,United States,Corporate & Business Data,"Feb 4, 2025",0,0
American Computer Estimating Inc,Financials,Insurance,United States,Communication & Social Data,"Feb 4, 2025",0,0
American Computer Estimating Inc,Financials,Insurance,United States,Personal Identifiable Information,"Feb 4, 2025",0,0
Alpine Ear Nose & Throat,Health Care,Health Care Providers & Services,United States,Authentication & Credential Data,"Feb 4, 2025",0,0
Alpine Ear Nose & Throat,Health Care,Health Care Providers & Services,United States,Personal Identifiable Information (PII),"Feb 4, 2025",0,0
Alpine Ear Nose & Throat,Health Care,Health Care Providers & Services,United States,Financial & Payment Data,"Feb 4, 2025",0,0
Alpine Ear Nose & Throat,Health Care,Health Care Providers & Services,United States,Medical & Health Records (PHI),"Feb 4, 2025",0,0
Alpine Ear Nose & Throat,Health Care,Health Care Providers & Services,United States,Corporate & Business Data,"Feb 4, 2025",0,0
Alpine Ear Nose & Throat,Health Care,Health Care Providers & Services,United States,Communication & Social Data,"Feb 4, 2025",0,0
Dash Business,Financials,Financial Services,United States,Financial & Payment Data,"Feb 2, 2025",320 Gb,320
Dash Business,Financials,Financial Services,United States,Corporate & Business Data,"Feb 2, 2025",320 Gb,320
Dash Business,Financials,Financial Services,United States,Personal Identifiable Information (PII),"Feb 2, 2025",320 Gb,320
Dash Business,Financials,Financial Services,United States,Medical & Health Records (PHI),"Feb 2, 2025",320 Gb,320
Dash Business,Financials,Financial Services,United States,Communication & Social Data,"Feb 2, 2025",320 Gb,320
Growth Acceleration Partners,Information Technology,Software & Services,United States,Authentication & Credential Data,"Jan 31, 2025",0,0
Growth Acceleration Partners,Information Technology,Software & Services,United States,Personal Identifiable Information (PII),"Jan 31, 2025",0,0
Growth Acceleration Partners,Information Technology,Software & Services,United States,Financial & Payment Data,"Jan 31, 2025",0,0
Growth Acceleration Partners,Information Technology,Software & Services,United States,Medical & Health Records (PHI),"Jan 31, 2025",0,0
Growth Acceleration Partners,Information Technology,Software & Services,United States,Corporate & Business Data,"Jan 31, 2025",0,0
Growth Acceleration Partners,Information Technology,Software & Services,United States,Communication & Social Data,"Jan 31, 2025",0,0
Growth Acceleration Partners,Information Technology,Software & Services,United States,System & Infrastructure Data,"Jan 31, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Authentication & Credential Data,"Jan 31, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Personal Identifiable Information (PII),"Jan 31, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Financial & Payment Data,"Jan 31, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Medical & Health Records (PHI),"Jan 31, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Corporate & Business Data,"Jan 31, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Government & Military Data (if the data involves government agencies or military personnel),"Jan 31, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Communication & Social Data,"Jan 31, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,Authentication & Credential Data,"Jan 31, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Personal Identifiable Information (PII),"Jan 31, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Financial & Payment Data,"Jan 31, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Medical & Health Records (PHI),"Jan 31, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Corporate & Business Data,"Jan 31, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Government & Military Data (if the data involves government agencies or military personnel),"Jan 31, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,Communication & Social Data,"Jan 31, 2025",0,0
OFW Law,Financials,Financial Services,United States,Personal Identifiable Information (PII),"Jan 29, 2025",300 Gb,300
OFW Law,Financials,Financial Services,United States,Financial & Payment Data,"Jan 29, 2025",300 Gb,300
OFW Law,Financials,Financial Services,United States,Medical & Health Records (PHI),"Jan 29, 2025",300 Gb,300
OFW Law,Financials,Financial Services,United States,Corporate & Business Data,"Jan 29, 2025",300 Gb,300
OFW Law,Financials,Financial Services,United States,Government & Military Data,"Jan 29, 2025",300 Gb,300
Civic Committee,Consumer Discretionary,Consumer Services,United States,Financial & Payment Data,"Jan 24, 2025",1.2 Tb,1228.8
Civic Committee,Consumer Discretionary,Consumer Services,United States,Personal Identifiable Information (PII),"Jan 24, 2025",1.2 Tb,1228.8
Civic Committee,Consumer Discretionary,Consumer Services,United States,Medical & Health Records (PHI),"Jan 24, 2025",1.2 Tb,1228.8
Civic Committee,Consumer Discretionary,Consumer Services,United States,Corporate & Business Data,"Jan 24, 2025",1.2 Tb,1228.8
Civic Committee,Consumer Discretionary,Consumer Services,United States,Communication & Social Data,"Jan 24, 2025",1.2 Tb,1228.8
Civic Committee,Consumer Discretionary,Consumer Services,United States, Authentication & Credential Data,"Jan 24, 2025",1.2 Tb,1228.8
Civic Committee,Consumer Discretionary,Consumer Services,United States, Government & Military Data (depending on the nature of the partners and projects),"Jan 24, 2025",1.2 Tb,1228.8
Civic Committee,Consumer Discretionary,Consumer Services,United States,Intellectual Property (IP) & Research Data (depending on the nature of the projects and contracts),"Jan 24, 2025",1.2 Tb,1228.8
MedRevenu Inc,Health Care,Health Care Providers & Services,United States,Financial & Payment Data,"Jan 22, 2025",0,0
MedRevenu Inc,Health Care,Health Care Providers & Services,United States,Personal Identifiable Information (PII),"Jan 22, 2025",0,0
MedRevenu Inc,Health Care,Health Care Providers & Services,United States,Medical & Health Records (PHI),"Jan 22, 2025",0,0
MedRevenu Inc,Health Care,Health Care Providers & Services,United States,Corporate & Business Data,"Jan 22, 2025",0,0
MedRevenu Inc,Health Care,Health Care Providers & Services,United States,Communication & Social Data,"Jan 22, 2025",0,0
MedRevenu Inc,Health Care,Health Care Providers & Services,United States,System & Infrastructure Data,"Jan 22, 2025",0,0
Medical Associates of Brevard,Health Care,Health Care Providers & Services,United States,Authentication & Credential Data,"Jan 22, 2025",0,0
Medical Associates of Brevard,Health Care,Health Care Providers & Services,United States,Personal Identifiable Information (PII),"Jan 22, 2025",0,0
Medical Associates of Brevard,Health Care,Health Care Providers & Services,United States,Medical & Health Records (PHI),"Jan 22, 2025",0,0
